,zbest,F3GHz,logL10cm,logL21cm,logLTIRSF,SFG,MNUV,MU,MB,MV,MR,MI,MZ,MY,MJ,MH,MK,MASS_MED,MASS_BEST,SFR_MED,SFR_BEST,L_NU,L_R,L_K
4028,1.5682,19.42664,23.36677,23.598463,12.150276,1.0,-20.608,-22.564,-23.244,-23.69,-23.944,-24.082,-24.378,-24.523,-24.835,-25.109,-24.936,11.25,11.2754,2.10325,2.14078,30.2911193916788,30.6769262117389,30.650739076952
4029,0.7015,42.02364,22.89327,23.124968,11.635754,1.0,-18.07,-20.293,-20.874,-21.444,-21.837,-22.2,-22.59,-22.806,-23.024,-23.463,-23.347,10.5885,10.5477,1.70378,1.70359,29.8168193916788,30.0579262117389,30.045599076952
4030,0.8974,28.13113,22.967693,23.199389,11.347181,1.0,-17.904,-19.495,-20.14,-20.654,-21.152,-21.342,-21.82,-22.126,-22.401,-22.93,-22.97,10.2958,10.2865,1.59135,1.56694,29.6887193916788,29.8855262117389,29.848769076952
4031,1.6517,36.19369,23.68836,23.920057,12.261143,0.0,-21.289,-22.884,-23.038,-23.502,-23.769,-23.83,-24.28,-24.646,-24.828,-25.166,-25.062,11.063,11.0689,2.39897,2.42755,30.5202193916788,30.6683262117389,30.638839076952
4032,2.491,20.49761,23.84212,24.073814,11.565306,1.0,-20.271,-21.848,-22.701,-22.981,-23.489,-23.921,-24.14,-24.349,-24.602,-24.938,-24.858,11.2367,11.285,2.2206,1.8933,30.0316193916788,30.5370262117389,30.626039076952
4033,1.0843,20.01243,23.010647,23.242342,0.0,0.0,-19.679,-21.577,-22.312,-22.849,-23.167,-23.396,-23.725,-23.906,-24.029,-24.317,-24.145,11.2,11.2193,1.00011,0.960853,29.1164793916788,30.0756262117389,30.330379076952
4034,0.752,39.75285,22.939314,23.171007,11.750698,1.0,-19.713,-21.276,-21.844,-22.338,-22.559,-23.045,-23.521,-23.661,-24.09,-24.435,-24.409,11.069,11.1258,1.729,1.72546,29.8368193916788,30.2581262117389,30.376389076952
4035,1.8004,20.15382,23.519075,23.75077,11.650676,0.0,-18.656,-22.044,-23.005,-23.507,-23.814,-24.011,-24.309,-24.539,-24.626,-24.858,-24.612,11.3855,11.3879,-1.19782,-1.17985,28.0041193916788,30.1352262117389,30.451319076952
4036,2.448,27.82641,23.95813,24.189823,12.442551,0.0,-19.837,-21.503,-21.918,-22.362,-22.697,-23.078,-23.387,-23.601,-23.901,-24.233,-24.165,10.7524,10.7387,2.11693,2.14037,30.2425193916788,30.3841262117389,30.341859076952
4037,0.6922,19.50634,22.546492,22.778187,11.349986,1.0,-17.713,-19.804,-20.53,-21.079,-21.422,-21.853,-22.139,-22.279,-22.481,-22.95,-22.781,10.5154,10.4849,0.971323,0.986129,29.1512893916788,29.7011262117389,29.751389076952
